80.94.29.40 - - [14/Feb/2019:00:21:51 +0300] "GET /sql/myadmin/index.php?lang=en HTTP/1.1" 404 1103
80.94.29.40 - - [14/Feb/2019:00:21:51 +0300] "GET /sql/webadmin/index.php?lang=en HTTP/1.1" 404 1104
80.94.29.40 - - [14/Feb/2019:00:21:52 +0300] "GET /sql/sqlweb/index.php?lang=en HTTP/1.1" 404 1102
80.94.29.40 - - [14/Feb/2019:00:21:52 +0300] "GET /sql/websql/index.php?lang=en HTTP/1.1" 404 1102
80.94.29.40 - - [14/Feb/2019:00:21:52 +0300] "GET /sql/webdb/index.php?lang=en HTTP/1.1" 404 1101
80.94.29.40 - - [14/Feb/2019:00:21:53 +0300] "GET /sql/sqladmin/index.php?lang=en HTTP/1.1" 404 1104
80.94.29.40 - - [14/Feb/2019:00:21:53 +0300] "GET /sql/sql-admin/index.php?lang=en HTTP/1.1" 404 1105
80.94.29.40 - - [14/Feb/2019:00:21:54 +0300] "GET /sql/phpmyadmin2/index.php?lang=en HTTP/1.1" 404 1107
80.94.29.40 - - [14/Feb/2019:00:21:54 +0300] "GET /sql/phpMyAdmin2/index.php?lang=en HTTP/1.1" 404 1107
80.94.29.40 - - [14/Feb/2019:00:21:54 +0300] "GET /sql/phpMyAdmin/index.php?lang=en HTTP/1.1" 404 1106
80.94.29.40 - - [14/Feb/2019:00:21:55 +0300] "GET /db/myadmin/index.php?lang=en HTTP/1.1" 404 1102
80.94.29.40 - - [14/Feb/2019:00:21:55 +0300] "GET /db/webadmin/index.php?lang=en HTTP/1.1" 404 1103
80.94.29.40 - - [14/Feb/2019:00:21:56 +0300] "GET /db/dbweb/index.php?lang=en HTTP/1.1" 404 1100
80.94.29.40 - - [14/Feb/2019:00:21:56 +0300] "GET /db/websql/index.php?lang=en HTTP/1.1" 404 1101
80.94.29.40 - - [14/Feb/2019:00:21:56 +0300] "GET /db/webdb/index.php?lang=en HTTP/1.1" 404 1100
80.94.29.40 - - [14/Feb/2019:00:21:57 +0300] "GET /db/dbadmin/index.php?lang=en HTTP/1.1" 404 1102
80.94.29.40 - - [14/Feb/2019:00:21:57 +0300] "GET /db/db-admin/index.php?lang=en HTTP/1.1" 404 1103
80.94.29.40 - - [14/Feb/2019:00:21:58 +0300] "GET /db/phpmyadmin3/index.php?lang=en HTTP/1.1" 404 1106
80.94.29.40 - - [14/Feb/2019:00:21:58 +0300] "GET /db/phpMyAdmin3/index.php?lang=en HTTP/1.1" 404 1106
