62.24.122.22 - - [15/Feb/2019:09:56:26 +0300] "GET /aua/assets/fonts/edu_fonts/edu_fonts.min.css HTTP/1.1" 200 1781
62.24.122.22 - - [15/Feb/2019:09:56:26 +0300] "GET /aua/assets/css/magnific-popup.css HTTP/1.1" 200 10118
62.24.122.22 - - [15/Feb/2019:09:56:26 +0300] "GET /aua/assets/css/custom.css HTTP/1.1" 200 25
62.24.122.22 - - [15/Feb/2019:09:56:26 +0300] "GET /aua/assets/img/favicon.ico HTTP/1.1" 404 1112
62.24.122.22 - - [15/Feb/2019:09:56:27 +0300] "GET /aua/assets/img/logo/openbaraza-logo.png HTTP/1.1" 200 13119
62.24.122.22 - - [15/Feb/2019:09:56:27 +0300] "GET /aua/assets/img/slides/slide_1.jpg HTTP/1.1" 200 96150
62.24.122.22 - - [15/Feb/2019:09:56:27 +0300] "GET /aua/assets/img/slides/slide_2.jpg HTTP/1.1" 200 104154
62.24.122.22 - - [15/Feb/2019:09:56:27 +0300] "GET /aua/assets/img/slides/slide_3.jpg HTTP/1.1" 200 127233
62.24.122.22 - - [15/Feb/2019:09:56:27 +0300] "GET /aua/assets/img/slides/slide_4.jpg HTTP/1.1" 200 67452
62.24.122.22 - - [15/Feb/2019:09:56:27 +0300] "GET /aua/img/event_1_thumb.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [15/Feb/2019:09:56:27 +0300] "GET /aua/assets/fonts/elegant_font/fonts/ElegantIcons.woff HTTP/1.1" 200 63664
62.24.122.22 - - [15/Feb/2019:09:56:27 +0300] "GET /aua/assets/fonts/icon_font/Pe-icon-7-stroke.woff?d7yf1v HTTP/1.1" 200 58556
62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/img/event_2_thumb.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/img/event_3_thumb.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/layerslider/skins/v5/skin.png HTTP/1.1" 200 6761
62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/assets/img/graphic.jpg HTTP/1.1" 200 61403
62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/layerslider/css/blank.gif HTTP/1.1" 200 49
62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/assets/img/slides/slide_1.jpg HTTP/1.1" 200 96150
62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/img/testimonial_1.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/img/testimonial_2.jpg HTTP/1.1" 404 1107
